Cliente,Nombre                             ,DISTRITO                  ,Latitud             ,Longitud            ,C.Sumin
6245460,CENCOSUD RETAIL PERU SA,SAN MIGUEL,-12.0774,-77.083182,0752
6245462,CENCOSUD RETAIL PERU SA,LA MOLINA,-12.08049334,-76.96699826,0752
6245463,CENCOSUD RETAIL PERU SA,LA MOLINA,-12.07717109,-76.91790299,0752
6245464,CENCOSUD RETAIL PERU SA,SANTIAGO DE SURCO,-12.12982668,-76.98237826,0752
6245465,CENCOSUD RETAIL PERU SA,ATE,-12.059361,-76.962773,0752
6245469,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6245480,SUPERMERCADOS PERUANOS S.A.,VILLA MARIA DEL TRIUNFO,-12.180293,-76.943061,0752
6245495,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6245496,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6246722,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6248420,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0752
6248758,SUPERMERCADOS PERUANOS SA,SAN MIGUEL,-12.0770391,-77.0836668,0752
6248955,SUPERMERCADOS PERUANOS SA,SAN JUAN DE LURIGANCHO,-12.0169055,-76.999715,0752
6249291,CENCOSUD RETAIL PERU SA,LURIN,-12.3112895,-76.8360531,0752
6249294,CENCOSUD RETAIL PERU SA,LURIN,-12.3113035,-76.8360443,0374
